Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.5874524714828897,0.5879626951995374,0.5879626951995374,0.5866759845103372,0.050650835037231445
SVC,0.5846007604562737,0.5852515905147484,0.5852515905147484,0.5833043958742906,0.11850452423095703
QuadraticDiscriminantAnalysis,0.5807984790874525,0.581296992481203,0.581296992481203,0.5800440412929017,0.07715964317321777
GaussianNB,0.5807984790874525,0.581296992481203,0.581296992481203,0.5800440412929017,0.014603376388549805
RidgeClassifierCV,0.5788973384030418,0.5795040485829959,0.5795040485829959,0.577757546284834,0.01827239990234375
NearestCentroid,0.5779467680608364,0.5784991324465009,0.5784991324465009,0.5770054490114994,0.008787155151367188
CalibratedClassifierCV,0.5769961977186312,0.5775592828224407,0.5775592828224407,0.5760140076409238,0.08966994285583496
LinearSVC,0.5760456273764258,0.5767061885482938,0.5767061885482938,0.5746767291966755,0.07851266860961914
LinearDiscriminantAnalysis,0.5760456273764258,0.5767061885482938,0.5767061885482938,0.5746767291966755,0.23015189170837402
LogisticRegression,0.5760456273764258,0.5766844997108155,0.5766844997108155,0.5747676199922852,0.046317338943481445
RidgeClassifier,0.5750950570342205,0.5757446500867553,0.5757446500867553,0.5737690273588283,0.060025930404663086
PassiveAggressiveClassifier,0.5475285171102662,0.5502458068247542,0.5502458068247542,0.5205384078754306,0.02762627601623535
NuSVC,0.5389733840304183,0.5393363215731637,0.5393363215731637,0.5385344400880906,0.23940372467041016
AdaBoostClassifier,0.5275665399239544,0.5279930595720069,0.5279930595720069,0.5269319938222707,0.4497706890106201
KNeighborsClassifier,0.5218631178707225,0.5222672064777328,0.5222672064777328,0.5212867122648283,0.05537700653076172
XGBClassifier,0.5190114068441065,0.5194476576055523,0.5194476576055523,0.5183309604413309,136.56346893310547
ExtraTreesClassifier,0.5114068441064639,0.5121891266628109,0.5121891266628108,0.5091250986263253,0.24765920639038086
ExtraTreeClassifier,0.5104562737642585,0.510641989589358,0.510641989589358,0.5103443485288829,0.03835415840148926
LGBMClassifier,0.5095057034220533,0.509984094852516,0.509984094852516,0.5086625179602631,36.63458561897278
RandomForestClassifier,0.5085551330798479,0.5092177559282822,0.5092177559282822,0.5069142806810973,0.40483784675598145
LabelSpreading,0.5038022813688213,0.5041064198958936,0.5041064198958937,0.5034667641176994,4.1225550174713135
DummyClassifier,0.5057034220532319,0.5,0.5,0.33968967238929215,0.02094268798828125
BaggingClassifier,0.49809885931558934,0.4993565644881435,0.4993565644881435,0.4919454802780701,0.10506200790405273
LabelPropagation,0.4990494296577947,0.4993421052631579,0.49934210526315786,0.49873561753061774,2.107654094696045
DecisionTreeClassifier,0.48954372623574144,0.4899436090225564,0.48994360902255646,0.48892835881950847,0.05296206474304199
SGDClassifier,0.4505703422053232,0.44904569115095433,0.44904569115095433,0.4406669327101979,0.02957940101623535
Perceptron,0.41920152091254753,0.4183993637941006,0.4183993637941006,0.4164080000492292,0.014205217361450195
