File1	File2	File1_Lines	File2_Lines	Merged_Lines	Merge_Rate
Adipose	Spleen	5831	7084	10536	0.1842
Spleen	Adipose	7084	5831	10536	0.1842
Adipose	Stomach	5831	7747	11292	0.1683
Stomach	Adipose	7747	5831	11292	0.1683
Colon	Stomach	14492	7747	18527	0.1669
Stomach	Colon	7747	14492	18527	0.1669
B-cell	T-cell	4102	2611	5604	0.1652
T-cell	B-cell	2611	4102	5604	0.1652
Adipose	Heart	5831	8264	11807	0.1623
Heart	Adipose	8264	5831	11807	0.1623
Adipose	Lung	5831	2812	7254	0.1607
Lung	Adipose	2812	5831	7254	0.1607
T-cell	Thymus	2611	1724	3653	0.1573
Thymus	T-cell	1724	2611	3653	0.1573
Lung	Spleen	2812	7084	8396	0.1515
Spleen	Lung	7084	2812	8396	0.1515
Colon	Spleen	14492	7084	18343	0.1498
Spleen	Colon	7084	14492	18343	0.1498
Adipose	Adrenal	5831	6853	10790	0.1493
Adrenal	Adipose	6853	5831	10790	0.1493
Pancreas	Stomach	5425	7747	11242	0.1465
Stomach	Pancreas	7747	5425	11242	0.1465
Esophagus	Stomach	8850	7747	14205	0.1441
Stomach	Esophagus	7747	8850	14205	0.1441
Spleen	Stomach	7084	7747	12756	0.1399
Stomach	Spleen	7747	7084	12756	0.1399
Heart	Stomach	8264	7747	13783	0.1391
Stomach	Heart	7747	8264	13783	0.1391
Adrenal	Spleen	6853	7084	12027	0.1370
Heart	Spleen	8264	7084	13245	0.1370
Spleen	Adrenal	7084	6853	12027	0.1370
Spleen	Heart	7084	8264	13245	0.1370
Adrenal	Stomach	6853	7747	12639	0.1343
Stomach	Adrenal	7747	6853	12639	0.1343
Adrenal	Heart	6853	8264	13102	0.1332
Heart	Adrenal	8264	6853	13102	0.1332
Adipose	Esophagus	5831	8850	12742	0.1320
Esophagus	Adipose	8850	5831	12742	0.1320
Adipose	Ovary	5831	3538	8137	0.1314
Ovary	Adipose	3538	5831	8137	0.1314
Spleen	T-cell	7084	2611	8427	0.1307
T-cell	Spleen	2611	7084	8427	0.1307
B-cell	Thymus	4102	1724	5072	0.1294
Thymus	B-cell	1724	4102	5072	0.1294
Colon	Esophagus	14492	8850	20326	0.1292
Esophagus	Colon	8850	14492	20326	0.1292
Lung	Stomach	2812	7747	9205	0.1282
Stomach	Lung	7747	2812	9205	0.1282
Adipose	Pancreas	5831	5425	9828	0.1268
Pancreas	Adipose	5425	5831	9828	0.1268
Liver	Stomach	8540	7747	14275	0.1235
Stomach	Liver	7747	8540	14275	0.1235
Adipose	Colon	5831	14492	17838	0.1222
Colon	Adipose	14492	5831	17838	0.1222
B-cell	Spleen	4102	7084	9835	0.1207
Spleen	B-cell	7084	4102	9835	0.1207
Esophagus	Spleen	8850	7084	14027	0.1196
Spleen	Esophagus	7084	8850	14027	0.1196
Adrenal	Ovary	6853	3538	9161	0.1183
Ovary	Adrenal	3538	6853	9161	0.1183
Ovary	Stomach	3538	7747	9962	0.1172
Stomach	Ovary	7747	3538	9962	0.1172
Adrenal	Esophagus	6853	8850	13879	0.1161
Esophagus	Adrenal	8850	6853	13879	0.1161
Adipose	Breast	5831	6032	10491	0.1156
Breast	Adipose	6032	5831	10491	0.1156
Adrenal	Lung	6853	2812	8560	0.1143
Lung	Adrenal	2812	6853	8560	0.1143
Lung	Ovary	2812	3538	5631	0.1132
Ovary	Lung	3538	2812	5631	0.1132
Colon	Liver	14492	8540	20432	0.1128
Liver	Colon	8540	14492	20432	0.1128
Esophagus	Heart	8850	8264	15195	0.1121
Heart	Esophagus	8264	8850	15195	0.1121
Breast	Esophagus	6032	8850	13225	0.1113
Esophagus	Breast	8850	6032	13225	0.1113
Lung	T-cell	2812	2611	4822	0.1108
T-cell	Lung	2611	2812	4822	0.1108
Breast	Stomach	6032	7747	12259	0.1103
Stomach	Breast	7747	6032	12259	0.1103
